,Group Name,Primary Contact Email
102,U of T Capture the Flag Club,mail@uoftctf.org
103,UDesign,udesigntoronto@gmail.com
104,Undergraduate Society of American Studies,usas.uoft@gmail.com
105,Undergraduate Sociology Students’ Union,ussu.uoft@gmail.com
106,University of Toronto Actuarial Science Club,actsci.club@utoronto.ca
107,University of Toronto Aerospace Team,contact@utat.ca
108,University of Toronto Alternative Investment Club (UTAIC),q.paterson@mail.utoronto.ca
109,University of Toronto Amateur Radio Society (UTARS),va3uot@gmail.com
110,University of Toronto Aviation Club (UTAC),uoft.aviationclub@gmail.com
111,University of Toronto Blue Sky Solar Racing,blueskysolar@studentorg.utoronto.ca
112,University of Toronto Business Students’ Association (UTBSA),uoftba@gmail.com
113,University of Toronto Cantonese Debate Club (UTCDC),utcds.general@gmail.com
114,University of Toronto Chinese Finance and Economics Association (UTCFEA),zzy.zhao@mail.utoronto.ca
115,University of Toronto Chinese Future Researchers Student Association,uoftchinesefutureresearchers@gmail.com
116,University of Toronto Chinese Future Researchers Student Association,uoftchinesefutureresearchers@gmail.com
117,University of Toronto Chinese Politics Club,utcpr@outlook.com
118,University of Toronto Coders Student Group,uoftcoders@gmail.com
119,University of Toronto Computer Poker Student Research Group,uoftcprg@studentorg.utoronto.ca
120,University of Toronto Concrete Toboggan Student Design Team,captain@toboggan.skule.ca
121,University of Toronto Economics Club (ECON),econuoft@gmail.com
122,University of Toronto Educational Design Student Association (UTEDSA),edudesign63@gmail.com
123,University of Toronto Engineering Finance Student Association (UTEFA),utefa@g.skule.ca
124,University of Toronto Fanfiction Club (UTFFC),uoftfanfictionclub@gmail.com
125,University of Toronto Fintech Student Association (UTFTA),utfta.fintech@gmail.com
126,University of Toronto Flutter Devs Students’ Organization (UOFTFDSO),uoftflutterdevs@studentorg.utoronto.ca
127,University of Toronto Game Design and Development Club,utgddc@gmail.com
128,University of Toronto Health and Smile Club,uofthealthsmile@gmail.com
129,University of Toronto Japan Network of Students,uoftjn@gmail.com
130,University of Toronto Machine Intelligence Student Team (UTMIST),utorontomist@gmail.com
131,University of Toronto Motorcycle Club (UTMC),ruizhi.zhao@mail.utoronto.ca
132,University of Toronto Open Source Students (UTOSS),utoss.execs@gmail.com
133,University of Toronto Pre-Dental Student Association,uoftpredental@gmail.com
134,University of Toronto Pre-Law Students’ Association (UTPLSA),president.utpls@gmail.com
135,University of Toronto Pre-Medical Student Association,uoft.premed@gmail.com
136,University of Toronto Pre-Pharmacy Student Association (UTPPSA),uoftprepharmacy@gmail.com
137,University of Toronto Public Speaking Club (UTPS),uoftpublicspeaking@gmail.com
138,University of Toronto Research Network Club (UTRN),uoftresearchnetwork@gmail.com
139,University of Toronto Risk Analysis Club (UTRAC),utrac.contact@gmail.com
140,University of Toronto Robotics Association (Student Design Team),utra@utra.ca
141,University of Toronto Sports Analytics Student Group,sportsanalytics@utoronto.ca
142,University of Toronto Sports and Business Student Association (UTSB),uoftsportsbusiness@gmail.com
143,University of Toronto STEM Student Research Initiative,utsriofficial@gmail.com
144,University of Toronto Student Association of Chinese Engineers (UTACE),utace.official@gmail.com
145,University of Toronto Student Chapter for Healing on Practice Education (U of T’s H.O.P.E),hope.utsg@gmail.com
146,University of Toronto Student Chapter Global Medical Training,gmt.utsg@gmail.com
147,University of Toronto Student’s Consulting Association (UTCA),utca.contact@gmail.com
148,University of Toronto Students Theatre Company (UTC),uoftheatrecompany@gmail.com
149,University of Toronto Toastmasters Student Chapter,toastmasters@g.skule.ca
